SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79904,PB-10 (AM-C2+AI-04+AH-60-BL),B0FTVQQVDC,B0FTVQQVDC,"Audio Array Professional Studio Recording Bundle – Condenser Microphone Kit, 2x2 USB Audio Interface, Closed-Back Headphones, Boom Arm, Pop Filter & 48V Phantom Power | 24-bit/192kHz Podcast Kit","1,255",23,1.47%,1.21%,"1,755",29,1.49%,1.09%,34.18%,43.75%,4,0,0.32%,0.00%,"₹ 39,795.00",₹ 0.00,4,0
FBA75687,AM-W11,B0B4G5ZLTB,B0B4G5ZLTB,"Audio Array AM-W11 Wireless Mic | Upto 4hr Battery & 60m Range | Volume & Mute Buttons with Indicators | Streaming, Vlogging, YouTube | 1x Lapel mic, Type C Adapter for Plug & Play | 2 Year Warranty",88,2,0.10%,0.11%,165,4,0.14%,0.15%,100.00%,100.00%,3,0,3.41%,0.00%,"₹ 6,647.00",₹ 0.00,3,0
FBA79107,AM-W17,B0CM9P5CCK,B0CM9P5CCK,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black",285,6,0.33%,0.32%,444,7,0.38%,0.26%,30.89%,75.00%,4,0,1.40%,0.00%,"₹ 6,876.00",₹ 0.00,3,0
FBA79446,AM-W33,B0DFMMTWLY,B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",307,6,0.36%,0.32%,418,8,0.35%,0.30%,42.25%,50.00%,3,0,0.98%,0.00%,"₹ 5,397.00",₹ 0.00,3,0
FBA79694,AA-26,B0DT6T6N6B,B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","1,259",53,1.48%,2.80%,"1,731",74,1.47%,2.77%,5.05%,9.80%,3,0,0.24%,0.00%,₹ 978.00,₹ 0.00,3,0
FBA79482,AM-S1,B0DXFPM4N2,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","8,650",181,10.15%,9.55%,"12,220",234,10.36%,8.76%,5.46%,4.51%,3,0,0.03%,0.00%,"₹ 25,692.00",₹ 0.00,3,0
FBA79827,PB-03 (AI-04 Red + AM-C11 x 2),B0FJ8S5XJ8,B0FJ8S5XJ8,"Audio Array Complete Podcast Bundle | Dual USB/XLR Dynamic Microphones with Audio Interface 24bit / 192kHz|Metal Body|Pro Streaming & Recording Kit for PC, Mac & Mobile - PB-03","1,197",32,1.40%,1.69%,"1,445",37,1.22%,1.39%,35.73%,59.09%,3,1,0.25%,3.13%,"₹ 40,897.00","₹ 13,499.00",3,1
FBK79010,AM-C42,B0FLYJFC22,B0FLYJFC22,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",81,4,0.10%,0.21%,116,4,0.10%,0.15%,100.00%,100.00%,3,0,3.70%,0.00%,"₹ 7,197.00",₹ 0.00,3,0
FBA79845,UB-02 (AM-S1 + AA-21),B0FN7B3KWS,B0FN7B3KWS,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-02",668,14,0.78%,0.74%,767,20,0.65%,0.75%,99.58%,100.00%,3,1,0.45%,7.14%,"₹ 34,397.00","₹ 11,799.00",3,1
FBA75673,AM-C1,B0B4DPX2J2,B0B4DPX2J2,"Audio Array AM-C1 USB Condenser Microphone Kit | 192kHz/24bit | 20-20KHz | 16mm Diaphram | BoomArm,Pop Filter, Mic Cover, Shock Mount,Tripod & 2.5M USB Cable | Podcasting,Gaming & Singing","18,361",284,21.55%,14.98%,"24,982",384,21.18%,14.38%,0.83%,0.00%,2,0,0.01%,0.00%,"₹ 5,342.00",₹ 0.00,2,0
FBA76862,AM-C28,B0BPLWW72Y,B0BPLWW72Y,Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker),686,30,0.81%,1.58%,923,49,0.78%,1.83%,11.20%,14.29%,3,2,0.44%,6.67%,"₹ 4,626.00","₹ 3,084.00",2,1
FBA76863,AI-03,B0BPM2T7BQ,B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming",40,2,0.05%,0.11%,63,6,0.05%,0.22%,55.38%,0.00%,2,0,5.00%,0.00%,"₹ 7,866.00",₹ 0.00,2,0
FBA79011,AM-C43,B0CH4RNWJX,B0CH4RNWJX,"Audio Array AM-C43 XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)","1,489",26,1.75%,1.37%,"2,272",32,1.93%,1.20%,0.54%,0.00%,2,0,0.13%,0.00%,"₹ 2,449.00",₹ 0.00,2,0
FBA77171,AC-6XL,B0CH4VCD6R,B0CH4VCD6R,"Audio Array AC-6XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (6 Meter/19.6 Feet)",179,9,0.21%,0.47%,245,10,0.21%,0.37%,27.03%,14.29%,2,0,1.12%,0.00%,"₹ 1,102.00",₹ 0.00,2,0
FBA79355,AA-19BL,B0D3M86SH1,B0D3M86SH1,Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black,509,21,0.60%,1.11%,641,23,0.54%,0.86%,9.31%,0.00%,2,0,0.39%,0.00%,"₹ 9,998.00",₹ 0.00,2,0
FBA79654,AM-C11 Pro,B0DN6MNS1X,B0DN6MNS1X,"Audio Array AM-C11 Pro XLR/USB Professional Dynamic Mic Kit | Premium Metal 96kHz/24bit Studio Quality | 2M XLR & USB Cables,Volume Control,Mute & Realtime Monitoring | Streaming,Gaming & podcasting",48,1,0.06%,0.05%,81,1,0.07%,0.04%,100.00%,100.00%,3,0,6.25%,0.00%,"₹ 15,597.00",₹ 0.00,2,0
FBA79722,AM-W21,B0F2HYY7JF,B0F2HYY7JF,"Audio Array AM-W21 Dual Wireless Lapel Microphones | TFT Card Recording, Noise Cancellation & Echo | Android, iOS, DSLR, Laptops | 360° Pickup, Plug n Play, 60M Working Range, 48-Hour Battery Life",72,2,0.08%,0.11%,129,8,0.11%,0.30%,62.16%,100.00%,2,1,2.78%,50.00%,"₹ 5,998.00","₹ 2,999.00",2,1
FBA79842,AM-C48,B0G4DNF8RZ,B0G4DNF8RZ,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",203,6,0.24%,0.32%,327,10,0.28%,0.37%,52.90%,0.00%,2,0,0.99%,0.00%,"₹ 6,598.00",₹ 0.00,2,0
FBA75676,AM-C4,B0B4DS678Q,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",192,4,0.23%,0.21%,255,19,0.22%,0.71%,23.61%,40.00%,1,0,0.52%,0.00%,"₹ 1,999.00",₹ 0.00,1,0
FBA75683,AA-03,B0B4G94VP3,B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.",112,7,0.13%,0.37%,157,9,0.13%,0.34%,2.16%,0.00%,1,0,0.89%,0.00%,₹ 476.00,₹ 0.00,1,0
FBA75690,AM-C10,B0B4K87PR4,B0B4K87PR4,Audio Array AM-C10 USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call,244,16,0.29%,0.84%,356,21,0.30%,0.79%,3.32%,0.00%,1,0,0.41%,0.00%,"₹ 3,999.00",₹ 0.00,1,0
FBA76414,AA-05,B0BLJVJ2GN,B0BLJVJ2GN,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations","1,350",45,1.58%,2.37%,"2,002",58,1.70%,2.17%,1.02%,3.33%,1,0,0.07%,0.00%,₹ 649.00,₹ 0.00,1,0
FBA76716,AM-C13,B0BLK8DNPD,B0BLK8DNPD,Audio Array AM-C13 Condenser Lapel Microphone | 6M Shielded Cable | Metal Build | Plug n Play Mobile & DSLR Support | 3.5mm Connector | Omnidirectional Pickup | Hard Case Included | 1 Year Warranty.,5,1,0.01%,0.05%,6,1,0.01%,0.04%,100.00%,0.00%,1,0,20.00%,0.00%,₹ 599.00,₹ 0.00,1,0
FBA76730,AM-C27,B0BLKB6FRR,B0BLKB6FRR,"Audio Array AM-C27 XLR to TRS Cardioid Dynamic Handheld Microphone Sound for Live Events | Premium Built with 4.5M Cable | Singing, Public Meetings, Studio Recording, Live Sound, Party",13,0,0.02%,0.00%,15,0,0.01%,0.00%,13.33%,0.00%,1,0,7.69%,0.00%,"₹ 1,299.00",₹ 0.00,1,0
FBA76728,AM-C25,B0BLNCP74M,B0BLNCP74M,"Audio Array AM-C25 Premium USB Condenser Microphone Kit with Boom Arm & Pop-Filter | No Latency Headphone Monitoring, Volume Control & Mute Button | Discord, Valorant, Gaming, Podcasting & Streaming",52,0,0.06%,0.00%,86,0,0.07%,0.00%,86.36%,0.00%,1,0,1.92%,0.00%,"₹ 2,199.00",₹ 0.00,1,0
FBA76597,AA-06,B0BQ7H7418,B0BQ7H7418,"Audio Array AA-06 Microphone Boom Arm with 35cm+35cm=70cm Adjustable Suspension Scissor Arm Stand, Shock Mount, Base Clamp, Pop-Filter, 3/8"" to 5/8"" Universal Screw Adapter, 4x Cable Ties",189,7,0.22%,0.37%,298,11,0.25%,0.41%,7.14%,0.00%,1,0,0.53%,0.00%,"₹ 1,271.00",₹ 0.00,1,0
FBA78976,AA-22,B0CF5SHL15,B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)",751,20,0.88%,1.05%,889,22,0.75%,0.82%,13.93%,44.44%,1,0,0.13%,0.00%,"₹ 3,649.00",₹ 0.00,1,0
FBA78975,AA-21,B0CF5TCQKL,B0CF5TCQKL,"Audio Array AA-21 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Black (Set of 2)","1,118",57,1.31%,3.01%,"1,561",98,1.32%,3.67%,4.83%,0.00%,1,0,0.09%,0.00%,"₹ 3,809.00",₹ 0.00,1,0
FBA79379,AM-C45,B0D3LZWTHV,B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing",596,9,0.70%,0.47%,871,10,0.74%,0.37%,1.92%,0.00%,1,0,0.17%,0.00%,"₹ 3,349.00",₹ 0.00,1,0
FBA79448,AM-W35,B0DFMKY4TT,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","1,404",16,1.65%,0.84%,"1,710",18,1.45%,0.67%,10.10%,20.00%,1,0,0.07%,0.00%,₹ 0.00,₹ 0.00,1,0
FBA79447,AM-W34,B0DFMLXD9S,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",495,17,0.58%,0.90%,644,21,0.55%,0.79%,7.39%,10.00%,1,0,0.20%,0.00%,"₹ 3,449.00",₹ 0.00,1,0
FBA79449,AM-W36,B0DFMNGFTD,B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box","2,203",60,2.59%,3.16%,"3,190",115,2.70%,4.31%,5.06%,6.67%,1,0,0.05%,0.00%,"₹ 5,699.00",₹ 0.00,1,0
FBA79833,PB-04 (AI-04 Red + AM-C44 x 2),B0FJ8PZ9H7,B0FJ8PZ9H7,"Audio Array Pro Podcasting Bundle | Audio Interface with 48V Phantom Power & Dual USB/XLR Touch-Control Mics | 192kHz/24bit, Mute, Monitor, Volume Control | Recording, Streaming & Podcasting - PB-04",941,18,1.10%,0.95%,"1,049",21,0.89%,0.79%,35.57%,8.33%,1,0,0.11%,0.00%,"₹ 13,199.00",₹ 0.00,1,0
FBA79830,GB-03 (AI-12 + AM-C43),B0FJ8TSQK1,B0FJ8TSQK1,"Audio Array Soundcard Singing Bundle | Condenser Mic with Boom Arm & Audio Mixer | Voice Effects, Reverb, Bluetooth | Ideal for Podcasting, Karaoke, Live Streaming, YouTube & Singing - GB-03",185,3,0.22%,0.16%,233,3,0.20%,0.11%,33.50%,100.00%,1,0,0.54%,0.00%,"₹ 3,699.00",₹ 0.00,1,0
FBA79815,AM-W19,B0FPR7VFCH,B0FPR7VFCH,"Audio Array AM-W19 Wireless Lavalier Microphone|192kHz/24bit |AI Noise Cancellation for iPhone/Android, 32h Charging Case, Plug & Play for Vlogging, Streaming, Meetings, Video Recording",178,3,0.21%,0.16%,279,6,0.24%,0.22%,4.90%,0.00%,1,0,0.56%,0.00%,"₹ 1,999.00",₹ 0.00,1,0
FBA79816,AM-W22,B0FPR962YS,B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",977,28,1.15%,1.48%,"1,324",36,1.12%,1.35%,50.41%,54.17%,1,0,0.10%,0.00%,"₹ 3,419.00",₹ 0.00,1,0
FBA79840,AH-60 RD,B0FQBWV1ST,B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug",340,9,0.40%,0.47%,509,12,0.43%,0.45%,7.08%,25.00%,1,0,0.29%,0.00%,"₹ 1,949.00",₹ 0.00,1,0
FBA79839,AH-45 BK,B0FQBXS6Y2,B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)",963,16,1.13%,0.84%,"1,347",21,1.14%,0.79%,9.90%,8.33%,1,0,0.10%,0.00%,"₹ 1,445.58",₹ 0.00,1,0
FBA79820,AC-3XL,B0FQJWWDVK,B0FQJWWDVK,"Audio Array AC-3XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (3 Meter/10 Feet)",215,6,0.25%,0.32%,290,11,0.25%,0.41%,1.88%,0.00%,1,0,0.47%,0.00%,₹ 462.00,₹ 0.00,1,0
FBA79906,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),B0FTVVLNS9,B0FTVVLNS9,"Audio Array Professional Dynamic Bundle with Headphones & Audio Interface – USB/XLR Dynamic Microphone, 24-bit/192kHz Interface, Boom Arm & Semi-Open Headphones | Plug & Play Podcast Kit",154,3,0.18%,0.16%,184,3,0.16%,0.11%,53.18%,100.00%,1,0,0.65%,0.00%,"₹ 10,999.00",₹ 0.00,1,0
FBA79909,AM-W20,B0FVM17Q4W,B0FVM17Q4W,"Audio Array AM-W20 Magnetic Wireless Lapel Microphone Set | One Touch Smart Noise Reduction | 48KHz/24Bit Hi-fi Recording | 50M Range | 800mAh 48Hrs Long Battery Backup | Vlogging, Podcast, Streaming",70,2,0.08%,0.11%,111,2,0.09%,0.07%,100.00%,100.00%,1,0,1.43%,0.00%,"₹ 2,099.00",₹ 0.00,1,0
FBA79969,UB-03 (AM-S1 + AA-22),B0G3B677Z5,B0G3B677Z5,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-03",745,22,0.87%,1.16%,864,26,0.73%,0.97%,99.76%,100.00%,1,0,0.13%,0.00%,"₹ 11,299.00",₹ 0.00,1,0
FBA75674,AM-C2,B0B4G19R58,B0B4G19R58,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)",844,11,0.99%,0.58%,"1,281",11,1.09%,0.41%,2.53%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75692,AM-C11,B0B4G1HPL5,B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing",347,14,0.41%,0.74%,498,18,0.42%,0.67%,4.03%,66.67%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75680,AM-C6,B0B4G1PXWV,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",200,4,0.23%,0.21%,280,9,0.24%,0.34%,23.68%,11.11%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75688,AM-W12,B0B4G763WS,B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box, etc",449,11,0.53%,0.58%,607,16,0.51%,0.60%,4.03%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75684,AA-04,B0B4G7VWXD,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",188,7,0.22%,0.37%,306,8,0.26%,0.30%,2.54%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75678,AA-01,B0B4G8PH2P,B0B4G8PH2P,"Audio Array AA-01 Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties",289,15,0.34%,0.79%,373,23,0.32%,0.86%,5.62%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75675,AM-C3,B0B4G8ZB64,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",344,8,0.40%,0.42%,483,12,0.41%,0.45%,0.24%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75679,AA-02,B0B4JRQP22,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",567,17,0.67%,0.90%,696,18,0.59%,0.67%,1.75%,6.67%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA75677,AM-C5,B0B4KC7VBM,B0B4KC7VBM,"Audio Array AM-C5 USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)",372,25,0.44%,1.32%,500,35,0.42%,1.31%,2.42%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76742,AM-K1,B0BLKBJ5HN,B0BLKBJ5HN,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",86,3,0.10%,0.16%,136,6,0.12%,0.22%,95.58%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76723,AM-C20,B0BLKF46QG,B0BLKF46QG,"Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",115,2,0.13%,0.11%,159,2,0.13%,0.07%,28.17%,50.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76864,AI-04 Red,B0BPLZ5CGV,B0BPLZ5CGV,Audio Array AI-04 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red,"9,304",184,10.92%,9.70%,"13,289",295,11.26%,11.04%,0.61%,24.46%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
