,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
FBA76862,AM-C28,B0BPLWW72Y,Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker),Audio Array,IN,"₹ 1,47,437.91",109,₹ 0.00,₹ 0.00,104,15
FBA79011,AM-C43,B0CH4RNWJX,"Audio Array AM-C43 XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 1,45,051.02",70,₹ 0.00,₹ 0.00,70,17
FBA79694,AA-26,B0DT6T6N6B,"Audio Array Metal Mic Stand | Extendable height up to 22cm | Mic Stand For Table | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base | AA-26",Audio Array,IN,"₹ 1,38,961.69",298,₹ 0.00,₹ 0.00,295,23
FBA79104,AI-11,B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing",Audio Array,IN,"₹ 1,11,741.45",85,₹ 0.00,₹ 0.00,80,25
FBA75677,AM-C5,B0B4KC7VBM,"Audio Array AM-C5 USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)",Audio Array,IN,"₹ 1,03,767.05",53,₹ 0.00,₹ 0.00,55,9
FBA76414,AA-05,B0BLJVJ2GN,"Audio Array Boom Arm | Suspension Scissor Mic Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations | AA-05",Audio Array,IN,"₹ 1,00,309.26",185,₹ 0.00,₹ 0.00,183,34
FBA79842,AM-C48,B0G4DNF8RZ,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",Audio Array,IN,"₹ 95,816.96",36,₹ 0.00,₹ 0.00,38,12
FBA79109,AM-W18,B0CM9HYVDM,"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)",Audio Array,IN,"₹ 75,065.22",76,₹ 0.00,₹ 0.00,73,12
FBA79982,AK-61 Pro,B0GN8MPYPG,"Audio Array AK-61 Pro 61-Key Portable Electronic Keyboard with LCD Display, Built-in Speakers, Mic Input & Included Mics, 255 Timbres, 512 Rhythms, Battery & Adapter Powered",Audio Array,IN,"₹ 73,791.51",16,₹ 0.00,₹ 0.00,16,7
FBA75679,AA-02,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",Audio Array,IN,"₹ 70,811.92",34,₹ 0.00,₹ 0.00,30,2
FBA78976,AA-22,B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)",Audio Array,IN,"₹ 68,023.74",22,₹ 0.00,₹ 0.00,22,2
FBA79106,AM-C44,B0CM9KJZWQ,"Audio Array AM-C44 XLR/USB Professional Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming, Podcasting",Audio Array,IN,"₹ 67,188.96",17,₹ 0.00,₹ 0.00,17,5
FBA75684,AA-04,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",Audio Array,IN,"₹ 66,248.28",47,₹ 0.00,₹ 0.00,47,11
FBA75690,AM-C10,B0B4K87PR4,Audio Array AM-C10 USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call,Audio Array,IN,"₹ 62,695.78",19,₹ 0.00,₹ 0.00,18,2
FBA79841,AH-60-BL,B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",Audio Array,IN,"₹ 60,494.93",36,₹ 0.00,₹ 0.00,36,11
FBA76863,AI-03,B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming",Audio Array,IN,"₹ 59,840.70",18,₹ 0.00,₹ 0.00,18,12
FBA79105,AI-12,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",Audio Array,IN,"₹ 57,694.89",49,₹ 0.00,₹ 0.00,47,22
FBA79981,AK-61 Neo,B0GN8MFDGZ,"Audio Array AK-61 Neo 61 Key Electronic Keyboard with LED Display, 200 Presets & 512 Timbres, Built-in 2.0 Speakers, with Mic, Vibrato, Sustain, Transpose, Battery & Adapter Powered, Headphone Out",Audio Array,IN,"₹ 54,904.23",13,₹ 0.00,₹ 0.00,13,4
FBA79830,GB-03 (AI-12 + AM-C43),B0FJ8TSQK1,"Audio Array Singing Bundle | Condenser Mic with Boom Arm & Sound Card V8 | Voice Effects, Reverb, Bluetooth | Ideal for Podcasting, Karaoke, Live Streaming, YouTube & Singing - GB-03",Audio Array,IN,"₹ 52,864.36",20,₹ 0.00,₹ 0.00,19,4
FBA77171,AC-6XL,B0CH4VCD6R,"Audio Array XLR Cable | 6.35mm Jack Male to XLR 3PIN Female Cord Wire | XLR Cable For Mic/Guitar | Black, 1pc Pack (6 Meter/19.6 Feet) | AC-6XL",Audio Array,IN,"₹ 52,414.58",115,₹ 0.00,₹ 0.00,110,12
FBA79838,AH-40 SL,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL | Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",Audio Array,IN,"₹ 51,826.26",45,₹ 0.00,₹ 0.00,42,13
FBA79840,AH-60-RD,B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug",Audio Array,IN,"₹ 48,619.42",29,₹ 0.00,₹ 0.00,27,5
FBA80007,MT-12,B0GN2LHJY4,"Audio Array MT-12 12 Analog+2 Digital Channel Hybrid Analog+USB Mixer, 48kHz DSP, 4 XLR & 8 TRS Inputs, 3-Band EQ, +48V Phantom, 24dBu Balanced XLR Out, Graphical EQ, Type-C Power, Studio & Streaming",Audio Array,IN,"₹ 47,028.82",6,₹ 0.00,₹ 0.00,6,5
FBA75691,AM-W14,B0B4G5JG4P,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 46,772.03",9,₹ 0.00,₹ 0.00,8,1
FBA79379,AM-C45,B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing",Audio Array,IN,"₹ 43,385.58",15,₹ 0.00,₹ 0.00,13,3
FBA79655,AM-C44 Pro,B0DN6PFWNK,Audio Array AM-C44 Pro XLR/USB Professional Dynamic Microphone Kit | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming & Podcasting,Audio Array,IN,"₹ 43,042.37",10,₹ 0.00,₹ 0.00,10,3
FBA79708,SB-01,B0FFB6YJM1,"Audio Array Sound bar | Bluetooth Speaker Wireless 25W, Gaming RGB Lights, AUX, USB, FM & TWS I Fast Charge Battery, Multiport Connectivity, for TV, Mobile, PC, Laptops, Tablets | Blue | SB-01",Audio Array,IN,"₹ 41,974.51",41,₹ 0.00,₹ 0.00,39,5
FBA79979,AK-37-B,B0GN8RQJRG,"Audio Array AK-37 Black MIDI Keyboard 37 Velocity Sensitive Keys, Built-in Speakers, 200 Presets, Sustain & Touch, Tempo, Octave/Transpose/Tune, Master Volume Knob, LED Display BT AA & Type-C Power",Audio Array,IN,"₹ 40,032.16",12,₹ 0.00,₹ 0.00,11,3
FBA79845,UB-02 (AM-S1 + AA-21),B0FN7B3KWS,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-02",Audio Array,IN,"₹ 39,318.64",4,₹ 0.00,₹ 0.00,3,1
FBA76597,AA-06,B0BQ7H7418,"Audio Array Microphone Boom Arm with 35cm+35cm=70cm Adjustable Suspension Scissor Arm Stand, Shock Mount, Base Clamp, Pop-Filter, 3/8"" to 5/8"" Universal Screw Adapter, 4x Cable Ties | AA-06",Audio Array,IN,"₹ 38,952.52",36,₹ 0.00,₹ 0.00,36,7
FBA79969,UB-03 (AM-S1 + AA-22),B0G3B677Z5,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-03",Audio Array,IN,"₹ 38,348.29",4,₹ 0.00,₹ 0.00,4,
FBA78960,AM-C39,B0CBCB82MT,"Audio Array AM-C39 XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 37,231.29",27,₹ 0.00,₹ 0.00,27,13
FBA79355,AA-19BL,B0D3M86SH1,Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black,Audio Array,IN,"₹ 36,938.96",9,₹ 0.00,₹ 0.00,9,6
FBA79966,AM-Mix10,B0G53KWRVW,"Audio Array AM-Mix10 10-Channel Hybrid USB Mixer with10 Analog+2 Digital Inputs, 48kHz/16-Bit DSP, Phantom Power, USB-C Powered, AUX Sends, Built-In FX, Balanced XLR Outputs for Live, Studio & Podcast",Audio Array,IN,"₹ 36,013.56",4,₹ 0.00,₹ 0.00,4,1
FBA75675,AM-C3,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",Audio Array,IN,"₹ 35,676.31",46,₹ 0.00,₹ 0.00,48,9
FBA79783,AM-C47,B0FF9R3GKK,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",Audio Array,IN,"₹ 34,436.47",15,₹ 0.00,₹ 0.00,15,7
FBA79959,AM-W47 Wired,B0G39ZHDYP,"Audio Array Wired Voice Amplifier for Teachers 2026 Edition | Bluetooth 5.3 | Mic for Teaching with 10W Speaker, Tour Guides | 10Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wired",Audio Array,IN,"₹ 34,288.92",34,₹ 0.00,₹ 0.00,32,3
FBA79654,AM-C11 Pro,B0DN6MNS1X,"Audio Array AM-C11 Pro XLR/USB Professional Dynamic Mic Kit | Premium Metal 96kHz/24bit Studio Quality | 2M XLR & USB Cables,Volume Control,Mute & Realtime Monitoring | Streaming,Gaming & podcasting",Audio Array,IN,"₹ 33,690.96",8,₹ 0.00,₹ 0.00,8,1
FBA75688,AM-W12,B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box, etc",Audio Array,IN,"₹ 33,381.34",10,₹ 0.00,₹ 0.00,11,1
FBA79821,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",B0FJ2JJZL3,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Audio Interface, 4"" Studio Monitors, Condenser Mic & Stands | for Music Production, Podcasting, Dubbing, Recording & Audio Mixing - UB-01",Audio Array,IN,"₹ 32,710.16",2,₹ 0.00,₹ 0.00,2,1
FBA79833,PB-04 (AI-04 Red + AM-C44 x 2),B0FJ8PZ9H7,"Audio Array Pro Podcasting Bundle | Audio Interface with 48V Phantom Power & Dual USB/XLR Touch-Control Mics | 192kHz/24bit, Mute, Monitor, Volume Control | Recording, Streaming & Podcasting - PB-04",Audio Array,IN,"₹ 31,617.49",3,₹ 0.00,₹ 0.00,3,3
FBA79449,AM-W36,B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 31,518.65",6,₹ 0.00,₹ 0.00,7,4
FBA79908,PB-14 (AM-C43+AH-40-SL+AI-12),B0FTVV1QJY,"Audio Array Professional Recording Bundle with BT Soundcard – USB Condenser Microphone, Studio Headphones | Cardioid Mic, Noise Reduction & 6 Sound Modes for Streaming Recording & Podcasting - PB-14",Audio Array,IN,"₹ 29,566.95",8,₹ 0.00,₹ 0.00,8,1
FBA79906,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),B0FTVVLNS9,"Audio Array Professional Dynamic Bundle with Headphones & Audio Interface - USB/XLR Dynamic Microphone, 24-bit/192kHz Interface, Boom Arm & Semi-Open Headphones | Plug & Play Podcast Kit - PB-12",Audio Array,IN,"₹ 29,488.98",3,₹ 0.00,₹ 0.00,3,
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 29,262.70",9,₹ 0.00,₹ 0.00,9,2
FBA79957,AM-W23,B0G3Q517Y2,"Audio Array AM-W23 Magnetic Wieless Mic with Charging Pouch 2026 Edition 24Bit/ 48Khz, iPhone/Android/iPad/Laptop, AI Noise Reduction, 50H Battery, 230ft Range for Recording, Vlogging",Audio Array,IN,"₹ 28,541.29",12,₹ 0.00,₹ 0.00,13,2
FBA79445,AM-W32,B0DFMLS8JG,"Audio Array AM-W32 UHF Dual Wireless Metal Microphones | Built-in Rechargeable Battery | 6–8 Hours Backup | 60M Range | Karaoke, DJ, Events, PA System | Echo & Volume Controls",Audio Array,IN,"₹ 27,958.47",9,₹ 0.00,₹ 0.00,9,4
FBA75692,AM-C11,B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing",Audio Array,IN,"₹ 27,618.64",7,₹ 0.00,₹ 0.00,7,
FBA79448,AM-W35,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 26,772.03",9,₹ 0.00,₹ 0.00,9,5
FBA79816,AM-W22,B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",Audio Array,IN,"₹ 23,153.37",8,₹ 0.00,₹ 0.00,8,2
FBA75683,AA-03,B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.",Audio Array,IN,"₹ 20,550.77",50,₹ 0.00,₹ 0.00,50,5
FBA80016,AM-W22,B0GKPXQ8G3,"Audio Array AM-W22_v2 Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",Audio Array,IN,"₹ 19,909.32",7,₹ 0.00,₹ 0.00,8,1
FBA75678,AA-01,B0B4G8PH2P,"Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01",Audio Array,IN,"₹ 19,694.05",11,₹ 0.00,₹ 0.00,11,1
FBA79825,GB-02 (AM-C43 + AI-11),B0FJ2DT13L,"Audio Array All in 1 Pro Bundle | Condenser Mic with USB Bluetooth Soundcard Mixer | Complete Setup for Streaming, Podcasting, Gaming, Singing & Home Studio Recording - GB-02",Audio Array,IN,"₹ 19,486.42",6,₹ 0.00,₹ 0.00,5,1
FBA79446,AM-W33,B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 18,498.28",11,₹ 0.00,₹ 0.00,11,6
FBA78925,AM-C11X,B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR cable | for Streaming, Gaming, Podcasting, Singing | 2 Yr Warranty",Audio Array,IN,"₹ 18,300.01",6,₹ 0.00,₹ 0.00,6,
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,"₹ 16,167.80",10,₹ 0.00,₹ 0.00,10,2
FBA79826,PB-02 (AI-04 Red + AM-C11 + AA-05),B0FJ2LQT7K,"Audio Array Complete Podcast Bundle | USB/XLR Dynamic Mic with Audio Interface 24bit/192kHz & Boom Arm Stand | Professional Streaming & Recording Kit for PC, Mac & Mobile Devices - PB-02",Audio Array,IN,"₹ 15,591.52",2,₹ 0.00,₹ 0.00,2,
FBA75689,AM-W13,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 14,738.98",8,₹ 0.00,₹ 0.00,8,2
FBA79107,AM-W17,B0CM9P5CCK,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black",Audio Array,IN,"₹ 14,313.57",10,₹ 0.00,₹ 0.00,9,2
FBA79824,GB-01 (AM-C43 +AI-10),B0FJ2K95XT,"Audio Array Ultimate Gaming Bundle | Condenser Mic with Boom Arm & Sound Card | Streaming Kit for PC/Mobile with 14 FX, Voice Modes, Loopback, Real Time Monitoring |for YouTube & Live Stream - GB-01",Audio Array,IN,"₹ 13,726.26",3,₹ 0.00,₹ 0.00,3,1
FBA79832,GB-05 (AM-C43 + AI-06),B0FJ8S53GW,"Audio Array Streaming Bundle Kit | USB Condenser Mic & RGB Sound Card with Phantom Power, Voice Effects, Real-Time Monitoring | for Podcasting, Gaming, YouTube & Live Streaming - GB-05",Audio Array,IN,"₹ 13,471.19",3,₹ 0.00,₹ 0.00,2,
FBA79009,AM-C41,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,"₹ 13,296.59",10,₹ 0.00,₹ 0.00,10,5
