,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
FBA75677,AM-C5,B0B4KC7VBM,"Audio Array AM-C5 USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)",Audio Array,IN,"₹ 1,80,518.96",93,₹ 0.00,₹ 0.00,94,11
FBA79103,AI-10,B0CM6NTWBP,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke",Audio Array,IN,"₹ 1,72,288.17",66,₹ 0.00,₹ 0.00,67,25
FBA75674,AM-C2,B0B4G19R58,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 1,70,480.53",53,₹ 0.00,₹ 0.00,54,10
FBA79839,AH-45 BK,B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)",Audio Array,IN,"₹ 1,46,771.58",109,₹ 0.00,₹ 0.00,108,15
FBA76862,AM-C28,B0BPLWW72Y,Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker),Audio Array,IN,"₹ 1,44,495.93",108,₹ 0.00,₹ 0.00,108,20
FBA79904,PB-10 (AM-C2+AI-04+AH-60-BL),B0FTVQQVDC,"Audio Array Professional Studio Recording Bundle – XLR Condenser Mic Kit, 2x2 USB Audio Interface, Closed-Back Headphone, Boom Arm, Pop Filter & 48V Phantom Power| 24-bit/192kHz Podcast Kit - PB-10",Audio Array,IN,"₹ 1,35,579.68",16,₹ 0.00,₹ 0.00,17,6
FBA79011,AM-C43,B0CH4RNWJX,"Audio Array AM-C43 XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 1,33,400.20",63,₹ 0.00,₹ 0.00,63,15
FBA78973,AA-19,B0CF5R3V95,"Audio Array AA-19 2in1 High & Low Profile Mic Stand | 71cm reach | Premium Metal design with Built In Cable Management | Flexible Position adjustments | 2Kg Weight Capacity |5/8"" to 3/8"" Screw Adapter",Audio Array,IN,"₹ 1,15,521.26",35,₹ 0.00,₹ 0.00,37,12
FBA79838,AH-40 SL,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL Sound, Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",Audio Array,IN,"₹ 1,04,658.30",103,₹ 0.00,₹ 0.00,104,17
FBA79982,AK-61 Pro,B0GN8MPYPG,"Audio Array AK-61 Pro 61-Key Portable Electronic Keyboard with LCD Display, Built-in Speakers, Mic Input & Included Mics, 255 Timbres, 512 Rhythms, Battery & Adapter Powered",Audio Array,IN,"₹ 93,203.36",20,₹ 0.00,₹ 0.00,18,5
FBA79694,AA-26,B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base",Audio Array,IN,"₹ 91,655.12",197,₹ 0.00,₹ 0.00,201,27
FBA79449,AM-W36,B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 90,578.87",17,₹ 0.00,₹ 0.00,16,8
FBA79104,AI-11,B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing",Audio Array,IN,"₹ 82,212.50",61,₹ 0.00,₹ 0.00,63,23
FBA76863,AI-03,B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming",Audio Array,IN,"₹ 78,684.95",25,₹ 0.00,₹ 0.00,25,9
FBA79109,AM-W18,B0CM9HYVDM,"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)",Audio Array,IN,"₹ 76,579.62",76,₹ 0.00,₹ 0.00,79,12
FBA79654,AM-C11 Pro,B0DN6MNS1X,"Audio Array AM-C11 Pro XLR/USB Professional Dynamic Mic Kit | Premium Metal 96kHz/24bit Studio Quality | 2M XLR & USB Cables,Volume Control,Mute & Realtime Monitoring | Streaming,Gaming & podcasting",Audio Array,IN,"₹ 70,450.32",17,₹ 0.00,₹ 0.00,17,2
FBA75679,AA-02,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",Audio Array,IN,"₹ 69,887.40",33,₹ 0.00,₹ 0.00,33,5
FBA80007,MT-12,B0GN2LHJY4,"Audio Array MT-12 12 Analog+2 Digital Channel Hybrid Analog+USB Mixer, 48kHz DSP, 4 XLR & 8 TRS Inputs, 3-Band EQ, +48V Phantom, 24dBu Balanced XLR Out, Graphical EQ, Type-C Power, Studio & Streaming",Audio Array,IN,"₹ 64,400.00",8,₹ 0.00,₹ 0.00,8,2
FBA79105,AI-12,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",Audio Array,IN,"₹ 59,279.60",50,₹ 0.00,₹ 0.00,49,22
FBA75690,AM-C10,B0B4K87PR4,Audio Array AM-C10 USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call,Audio Array,IN,"₹ 57,612.66",17,₹ 0.00,₹ 0.00,17,
FBA79842,AM-C48,B0G4DNF8RZ,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",Audio Array,IN,"₹ 55,915.20",20,₹ 0.00,₹ 0.00,18,4
FBA79106,AM-C44,B0CM9KJZWQ,"Audio Array AM-C44 XLR/USB Professional Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming, Podcasting",Audio Array,IN,"₹ 55,603.35",14,₹ 0.00,₹ 0.00,14,1
FBA79981,AK-61 Neo,B0GN8MFDGZ,"Audio Array AK-61 Neo 61 Key Electronic Keyboard with LED Display, 200 Presets & 512 Timbres, Built-in 2.0 Speakers, with Mic, Vibrato, Sustain, Transpose, Battery & Adapter Powered, Headphone Out",Audio Array,IN,"₹ 55,073.72",13,₹ 0.00,₹ 0.00,13,2
FBA79841,AH-60 BL,B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",Audio Array,IN,"₹ 52,419.50",31,₹ 0.00,₹ 0.00,31,4
FBA76414,AA-05,B0BLJVJ2GN,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations",Audio Array,IN,"₹ 51,536.47",87,₹ 0.00,₹ 0.00,84,10
FBA75688,AM-W12,B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box, etc",Audio Array,IN,"₹ 46,664.53",14,₹ 0.00,₹ 0.00,15,1
FBA79355,AA-19BL,B0D3M86SH1,Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black,Audio Array,IN,"₹ 46,590.68",11,₹ 0.00,₹ 0.00,11,2
FBA79827,PB-03 (AI-04 Red + AM-C11 x 2),B0FJ8S5XJ8,"Audio Array Complete Podcast Bundle | Dual USB/XLR Dynamic Microphones with Audio Interface 24bit / 192kHz|Metal Body|Pro Streaming & Recording Kit for PC, Mac & Mobile - PB-03",Audio Array,IN,"₹ 45,081.36",4,₹ 0.00,₹ 0.00,4,1
FBA77171,AC-6XL,B0CH4VCD6R,"Audio Array AC-6XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (6 Meter/19.6 Feet)",Audio Array,IN,"₹ 40,881.33",88,₹ 0.00,₹ 0.00,88,14
FBA75692,AM-C11,B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing",Audio Array,IN,"₹ 39,822.00",10,₹ 0.00,₹ 0.00,10,3
FBA79845,UB-02 (AM-S1 + AA-21),B0FN7B3KWS,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-02",Audio Array,IN,"₹ 39,318.64",4,₹ 0.00,₹ 0.00,4,
FBA79964,AM-Pro12,B0G53KWRWH,"Audio Array AM-Pro12 12-Channel HYBRID USB Mixer 12 channel analog+2 digital 48kHz/16bit,128DSP Fx, Built-In Compressor, 4Group Buses, Inserts,+24dBu Balanced XLR Outs For Live, Studio & Broadcast",Audio Array,IN,"₹ 38,981.36",2,₹ 0.00,₹ 0.00,2,1
FBA75684,AA-04,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",Audio Array,IN,"₹ 38,875.46",27,₹ 0.00,₹ 0.00,25,7
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 37,507.42",12,₹ 0.00,₹ 0.00,12,1
FBA75691,AM-W14,B0B4G5JG4P,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 35,587.30",7,₹ 0.00,₹ 0.00,7,2
FBA79840,AH-60 RD,B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug",Audio Array,IN,"₹ 35,321.16",21,₹ 0.00,₹ 0.00,21,8
FBA80016,AM-W22 Duplicate,B0GKPXQ8G3,"Audio Array AM-W22_V2 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",Audio Array,IN,"₹ 34,566.11",12,₹ 0.00,₹ 0.00,11,2
FBA78976,AA-22,B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)",Audio Array,IN,"₹ 34,482.19",11,₹ 0.00,₹ 0.00,11,1
FBA79959,AM-W47 Wired,B0G39ZHDYP,"Audio Array Wired Voice Amplifier 2026 Edition | Bluetooth 5.3 | Wired Headset Mic with 10W Speaker for Teachers, Tour Guides | 10Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wired",Audio Array,IN,"₹ 33,531.30",33,₹ 0.00,₹ 0.00,33,2
FBA79379,AM-C45,B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing",Audio Array,IN,"₹ 32,173.72",11,₹ 0.00,₹ 0.00,12,3
FBA75675,AM-C3,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",Audio Array,IN,"₹ 31,762.74",40,₹ 0.00,₹ 0.00,39,5
FBA79783,AM-C47,B0FF9R3GKK,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",Audio Array,IN,"₹ 31,433.85",13,₹ 0.00,₹ 0.00,13,5
FBA79816,AM-W22,B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",Audio Array,IN,"₹ 30,037.83",10,₹ 0.00,₹ 0.00,10,4
FBA79844,PB-08 (AM-C1 + AI-04),B0FN7DYB2M,"Audio Array Podcast Bundle with USB Condenser Mic Kit, Audio Interface |192kHz/24bit Studio Quality, Plug & Play, Phantom Power, Real-Time Monitoring for Recording, Streaming & Podcasting - PB-08",Audio Array,IN,"₹ 29,656.80",5,₹ 0.00,₹ 0.00,4,1
FBA79969,UB-03 (AM-S1 + AA-22),B0G3B677Z5,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-03",Audio Array,IN,"₹ 29,234.76",3,₹ 0.00,₹ 0.00,3,1
FBA79448,AM-W35,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹ 27,450.00",9,₹ 0.00,₹ 0.00,9,3
FBA78960,AM-C39,B0CBCB82MT,"Audio Array AM-C39 XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 25,916.98",18,₹ 0.00,₹ 0.00,19,7
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,"₹ 24,139.80",15,₹ 0.00,₹ 0.00,15,4
FBA75678,AA-01,B0B4G8PH2P,"Audio Array AA-01 Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties",Audio Array,IN,"₹ 23,675.41",13,₹ 0.00,₹ 0.00,13,2
FBA79957,AM-W23,B0G3Q517Y2,"Audio Array AM-W23 Magnetic Wieless Mic with Charging Pouch 2026 Edition 24Bit/ 48Khz, iPhone/Android/iPad/Laptop, AI Noise Reduction, 50H Battery, 230ft Range for Recording, Vlogging",Audio Array,IN,"₹ 22,873.74",9,₹ 0.00,₹ 0.00,9,1
FBA79655,AM-C44 Pro,B0DN6PFWNK,Audio Array AM-C44 Pro XLR/USB Professional Dynamic Microphone Kit | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming & Podcasting,Audio Array,IN,"₹ 22,029.66",5,₹ 0.00,₹ 0.00,5,
FBA79010,AM-C42,B0CH4T2BJD,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,"₹ 19,906.80",10,₹ 0.00,₹ 0.00,10,3
FBA79906,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),B0FTVVLNS9,"Audio Array Professional Dynamic Bundle with Headphones & Audio Interface - USB/XLR Dynamic Microphone, 24-bit/192kHz Interface, Boom Arm & Semi-Open Headphones | Plug & Play Podcast Kit - PB-12",Audio Array,IN,"₹ 19,659.32",2,₹ 0.00,₹ 0.00,2,
FBA75683,AA-03,B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.",Audio Array,IN,"₹ 19,452.48",46,₹ 0.00,₹ 0.00,46,5
FBA79958,AM-W24,B0G3Q59X8C,"Audio Array AM-W24 2026 Edition Magnetic Wireless 5gm Mic with Slide Charging Case for iPhone/Android/iPad, AI Noise Reduction, 30H Battery, 200ft Range, Plug & Play for Recording, Vlogging, Streaming",Audio Array,IN,"₹ 19,311.84",12,₹ 0.00,₹ 0.00,15,6
FBA79821,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",B0FJ2JJZL3,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Audio Interface, 4"" Studio Monitors, Condenser Mic & Stands | for Music Production, Podcasting, Dubbing, Recording & Audio Mixing - UB-01",Audio Array,IN,"₹ 16,355.08",1,₹ 0.00,₹ 0.00,2,
FBA79445,AM-W32,B0DFMLS8JG,"Audio Array AM-W32 UHF Dual Wireless Metal Microphones | Built-in Rechargeable Battery | 6–8 Hours Backup | 60M Range | Karaoke, DJ, Events, PA System | Echo & Volume Controls",Audio Array,IN,"₹ 16,097.47",5,₹ 0.00,₹ 0.00,5,1
FBA79107,AM-W17,B0CM9P5CCK,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black",Audio Array,IN,"₹ 15,838.16",11,₹ 0.00,₹ 0.00,11,3
FBA79822,KB-01 (AM-W32 + AI-12),B0FJ2J6MTF,"Audio Array Portable Karaoke Bundle | Dual Wireless UHF Microphones with Rechargeable Battery Receiver & USB Plug n Play BT Soundcard Mixer | Ideal for Parties, Home Karaoke & Live Singing - KB-01",Audio Array,IN,"₹ 15,690.68",4,₹ 0.00,₹ 0.00,4,
FBA79832,GB-05 (AM-C43 + AI-06),B0FJ8S53GW,"Audio Array Streaming Bundle Kit | USB Condenser Mic & RGB Sound Card with Phantom Power, Voice Effects, Real-Time Monitoring | for Podcasting, Gaming, YouTube & Live Streaming - GB-05",Audio Array,IN,"₹ 13,726.26",3,₹ 0.00,₹ 0.00,3,1
FBA79972,M8,B0GCP1J2HC,"Audio Array M8 Latest 2026 Edition 8-Channel Hybrid USB Summing Mixer (6 Analog + 2 Digital) for Recording & Live, 192kHz/24-Bit OTG, 99 DSP FX, 4 XLR Mic Inputs, Phantom Power, Hi-Z & Monitoring",Audio Array,IN,"₹ 13,557.62",2,₹ 0.00,₹ 0.00,7,2
FBA79980,AK-37-W,B0GN8MMKY1,"Audio Array AK-37 White MIDI Keyboard 37 Velocity Sensitive Keys, Built-in Speakers, 200 Presets, Sustain & Touch, Tempo, Octave/Transpose/Tune, Master Volume Knob, LED Display BT AA & Type-C Power",Audio Array,IN,"₹ 13,555.92",4,₹ 0.00,₹ 0.00,4,2
FBA76597,AA-06,B0BQ7H7418,"Audio Array AA-06 Microphone Boom Arm with 35cm+35cm=70cm Adjustable Suspension Scissor Arm Stand, Shock Mount, Base Clamp, Pop-Filter, 3/8"" to 5/8"" Universal Screw Adapter, 4x Cable Ties",Audio Array,IN,"₹ 13,210.19",12,₹ 0.00,₹ 0.00,13,6
FBA79825,GB-02 (AM-C43 + AI-11),B0FJ2DT13L,"Audio Array All in 1 Pro Bundle | Condenser Mic with USB Bluetooth Soundcard Mixer | Complete Setup for Streaming, Podcasting, Gaming, Singing & Home Studio Recording - GB-02",Audio Array,IN,"₹ 13,047.44",4,₹ 0.00,₹ 0.00,4,
FBA78925,AM-C11X,B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR cable | for Streaming, Gaming, Podcasting, Singing | 2 Yr Warranty",Audio Array,IN,"₹ 12,369.48",4,₹ 0.00,₹ 0.00,4,2
FBA79960,AM-W47 Wireless,B0G3B152FR,"Audio Array Wireless Voice Amplifier 2026 Edition | Bluetooth 5.3 |10W Speaker With Wireless Mic | For Teachers, Tour Guides |10 Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wireless",Audio Array,IN,"₹ 11,265.24",7,₹ 0.00,₹ 0.00,7,1
FBA79009,AM-C41,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,"₹ 10,840.64",8,₹ 0.00,₹ 0.00,7,3
FBA79830,GB-03 (AI-12 + AM-C43),B0FJ8TSQK1,"Audio Array Singing Bundle | Condenser Mic with Boom Arm & Sound Card V8 | Voice Effects, Reverb, Bluetooth | Ideal for Podcasting, Karaoke, Live Streaming, YouTube & Singing - GB-03",Audio Array,IN,"₹ 10,674.56",4,₹ 0.00,₹ 0.00,4,2
FBA78961,AM-C40,B0CBCB9S14,"Audio Array AM-C40 Large Diaphragm USB Condenser Microphone Kit | Boom Arm & Pop-Filter | 96kHz/24bit No Latency Headphone Monitoring with Mute & Volume Control Knob | Singing, Podcasting & Streaming",Audio Array,IN,"₹ 10,589.00",5,₹ 0.00,₹ 0.00,7,
FBA79979,AK-37-B,B0GN8RQJRG,"Audio Array AK-37 Black MIDI Keyboard 37 Velocity Sensitive Keys, Built-in Speakers, 200 Presets, Sustain & Touch, Tempo, Octave/Transpose/Tune, Master Volume Knob, LED Display BT AA & Type-C Power",Audio Array,IN,"₹ 10,166.94",3,₹ 0.00,₹ 0.00,3,
