,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/07/25 - 31/07/25],Report Updated=[04/08/26]
FBA79106,AM-C44,B0CM9KJZWQ,"Audio Array AM-C44 XLR/USB Professional Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming, Podcasting",Audio Array,IN,184296.59,44,0,0,43,8
FBA78975,AA-21,B0CF5TCQKL,"Audio Array AA-21 Speaker Stand Pair | 15KG Capacity | Height, Tilt & Rotation Adjustable | Steel Build | Smart Cable Management | Sound Editing, Music Production Speaker Stand for Desk | Black",Audio Array,IN,161752.59,52,0,0,53,6
FBA79104,AI-11,B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing",Audio Array,IN,154259.34,118,0,0,112,36
FBA75692,AM-C11,B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing",Audio Array,IN,126275.44,30,0,0,29,4
FBA75677,AM-C5,B0B4KC7VBM,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker) | AM-C5",Audio Array,IN,115696.5,55,0,0,56,15
FBA76414,AA-05,B0BLJVJ2GN,"Audio Array Boom Arm | Suspension Scissor Mic Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations | AA-05",Audio Array,IN,114325.71,203,0,0,209,27
FBA79379,AM-C45,B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing",Audio Array,IN,97039.74,33,0,0,31,5
FBA75690,AM-C10,B0B4K87PR4,Audio Array USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call | AM-C10,Audio Array,IN,95432.16,28,0,0,26,2
FBA75691,AM-W14,B0B4G5JG4P,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,90476.32,17,0,0,16,5
FBA78925,AM-C11X,B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-Quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR Cable | for Streaming, Gaming, Podcasting, Singing",Audio Array,IN,69459.34,22,0,0,22,5
FBA77171,AC-6XL,B0CH4VCD6R,"Audio Array XLR Cable | 6.35mm Jack Male to XLR 3PIN Female Cord Wire | XLR Cable For Mic/Guitar | Black, 1pc Pack (6 Meter/19.6 Feet) | AC-6XL",Audio Array,IN,67034.52,160,0,0,159,16
FBA79107,AM-W17,B0CM9P5CCK,"Audio Array Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black|AM-W17",Audio Array,IN,64079.58,41,0,0,41,13
FBA79105,AI-12,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",Audio Array,IN,62036.4,55,0,0,52,13
FBA75675,AM-C3,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",Audio Array,IN,61883.66,82,0,0,81,11
FBA76863,AI-03,B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming",Audio Array,IN,61539.02,19,0,0,18,6
FBA75684,AA-04,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",Audio Array,IN,60571.91,43,0,0,42,11
FBA79449,AM-W36,B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,53677.1,11,0,0,10,
FBA79355,AA-19BL,B0D3M86SH1,Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black,Audio Array,IN,51215.26,12,0,0,13,
FBA78960,AM-C39,B0CBCB82MT,"Audio Array XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black) |AM-C39",Audio Array,IN,50968.74,34,0,0,32,8
FBA79108,AM-W16,B0CM9L1QZG,"Audio Array Solo Wireless Lapel Over Ear Mic|in-Built ANC,Plug N Play,LongBattery Life,Ultra-Low Latency,Upto 30M Range|Compatible with iPhone&Android|Vlogging,Streaming,Teaching,YouTube,Black|AM-W16",Audio Array,IN,47330.49,40,0,0,39,14
FBA78974,AA-20,B0CF5RRTDJ,"Audio Array AA-20 Microphone Arm Stand | 81cm Reach | Premium light weight & slick design | Flexible height & position adjustments | 1kg Weight Capacity | 5/8"" to 3/8"" Screw Adapter | Cable Ties",Audio Array,IN,45222.84,23,0,0,24,2
FBA75674,AM-C2,B0B4G19R58,Audio Array Mic | Podcast Mic XLR Condenser Microphone Kit with Boom Arm | Pop Filter | Shock Mount & 2M Cable | Cardioid Recording Microphone for Streaming | Podcasting & Home Studio | AM-C2,Audio Array,IN,44056.74,13,0,0,13,3
FBA79016,AM-C3a,B0CH4R1V6S,"Audio Array AM-C3a Unidirectional Dynamic Handheld Karaoke Microphone | 20Hz - 20kHz Response | Karaoke Singing, Public Meetings, Studio Recording, Live Sound, Party (no Cable Included)",Audio Array,IN,41418.57,70,0,0,69,23
FBA78976,AA-22,B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)",Audio Array,IN,40602.55,13,0,0,14,4
FBA75686,AM-W10,B0B4G89VQJ,"Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube",Audio Array,IN,37278.78,11,0,0,11,4
FBA75678,AA-01,B0B4G8PH2P,"Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01",Audio Array,IN,37016.95,20,0,0,21,1
FBA75676,AM-C4,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",Audio Array,IN,35405.94,21,0,0,21,3
FBA76597,AA-06,B0BQ7H7418,"Audio Array Microphone Boom Arm Stand, 70cm Adjustable Suspension Scissor Stand with Shock Mount, Pop Filter, Desk Clamp, 3/8"" to 5/8"" Adapter & 4 Cable Ties | AA-06",Audio Array,IN,30784.8,27,0,0,25,3
FBA75688,AM-W12,B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,30530.48,9,0,0,10,1
FBA79445,AM-W32,B0DFMLS8JG,"Audio Array AM-W32 UHF Dual Wireless Metal Microphones | Built-in Rechargeable Battery | 6–8 Hours Backup | 60M Range | Karaoke, DJ, Events, PA System | Echo & Volume Controls",Audio Array,IN,25247.46,8,0,0,7,1
FBA79444,AM-W20,B0DFMLQBMC,"Audio Array AM-W20 Magnetic Wireless Lapel Microphone Set | One Touch Smart Noise Reduction | 48KHz/24Bit Hi-fi Recording | 50M Range | 800mAh 48Hrs Long Battery Backup | Vlogging, Podcast, Streaming",Audio Array,IN,22277.97,12,0,0,12,4
FBA79482,AM-S1,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 Professional 4"" Studio Monitors| 60W Class D,Woven Composite Woofer,1"" Silk-Dome Tweeter| TI 3116D2 Amp, MVsilicon BP1048B2 Chipset| Music/Monitor Mode,Aux,HDMI,USB-C,TRS,RCA",Audio Array,IN,21607.62,3,0,0,4,2
FBA79008,AI-06,B0CH4RT4P8,"Audio Array AI-06 Streaming Audio Mixer Sound Card | XLR, 1/4"" & line in | PC/Phone RGB Mixer with Volume Fader, Individual Control, Mute and Monitoring, 48V Phantom Power | Stream, Podcast & Karaoke",Audio Array,IN,20663.54,7,0,0,6,3
FBA79010,AM-C42,B0CH4T2BJD,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,20381.36,9,0,0,8,1
FBA75681,AM-C7,B0B4FZS38V,"Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming",Audio Array,IN,20161.02,10,0,0,10,3
FBA79009,AM-C41,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,19894.09,13,0,0,13,5
FBA76723,AM-C20,B0BLKF46QG,"Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",Audio Array,IN,19773.7,17,0,0,15,5
FBA79064,AA-25,B0CJR76Y7G,"Audio Array AA-25 Handheld Microphone Interview Adapter for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",Audio Array,IN,19416.13,29,0,0,29,7
FBA79448,AM-W35,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,19061.84,7,0,0,7,1
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,18634.76,11,0,0,11,5
FBA75687,AM-W11,B0B4G5ZLTB,"Audio Array AM-W11 Wireless Mic | Upto 4hr Battery & 60m Range | Volume & Mute Buttons with Indicators | Streaming, Vlogging, YouTube | 1x Lapel mic, Type C Adapter for Plug & Play | 2 Year Warranty",Audio Array,IN,18127.98,9,0,0,9,2
FBA75689,AM-W13,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",Audio Array,IN,16772.04,9,0,0,9,2
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,15885.6,5,0,0,5,
FBA79446,AM-W33,B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,15364.45,10,0,0,9,
FBA78961,AM-C40,B0CBCB9S14,"Audio Array AM-C40 Large Diaphragm USB Condenser Microphone Kit | Boom Arm & Pop-Filter | 96kHz/24bit No Latency Headphone Monitoring with Mute & Volume Control Knob | Singing, Podcasting & Streaming",Audio Array,IN,15315.24,7,0,0,7,
FBA78206,AM-W15,B0C4YSV3XL,Audio Array AM-W15 Dual Wireless Mic with Charging Case | Upto 16hr Battery Backup & 100m Range | Active Noise Cancellation | Informative LCD Screen | BIS & WPC Certified | 2 Yr Warranty,Audio Array,IN,14312.72,2,0,0,2,
FBA75679,AA-02,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",Audio Array,IN,13633.89,6,0,0,7,4
FBA79356,AA-19WL,B0D3Q2T5XX,Audio Array AA-19WL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | White,Audio Array,IN,12285.59,3,0,0,4,1
FBA76730,AM-C27,B0BLKB6FRR,"Audio Array AM-C27 XLR to TRS Cardioid Dynamic Handheld Microphone Sound for Live Events | Premium Built with 4.5M Cable | Singing, Public Meetings, Studio Recording, Live Sound, Party",Audio Array,IN,11255.08,9,0,0,9,1
FBA76728,AM-C25,B0BLNCP74M,"Audio Array AM-C25 Premium USB Condenser Microphone Kit with Boom Arm & Pop-Filter | No Latency Headphone Monitoring, Volume Control & Mute Button | Discord, Valorant, Gaming, Podcasting & Streaming",Audio Array,IN,11181.36,6,0,0,6,1
FBA79694,AA-26,B0DT6T6N6B,"Audio Array Metal Mic Stand | Extendable height up to 22cm | Mic Stand For Table | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base | AA-26",Audio Array,IN,10479.93,24,0,0,20,1
FBA75683,AA-03,B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.",Audio Array,IN,7128.79,17,0,0,17,5
FBA76721,AM-C18,B0BLKB55BM,"Audio Array AM-C18 Vlogging Kit 6 in 1 Combo | 3.5mm Shotgun Mic with shockmount & LED Light Tripod Stand for Smartphones & Camera | Upto 3Hrs Battery Life | for Vlogging, Live Streaming, YouTube",Audio Array,IN,6096.6,3,0,0,3,
FBA79230,AM-W46,B0CX1XK5R6,Audio Array Groove Wireless Bluetooth 5.3 Bookshelf Speaker 30W | 5400mAh Upto 24h Long Battery | 3 EQ Modes | Stylish Premium Metal Body | Superior Bass Quality (AM-W46),Audio Array,IN,4448.31,1,0,0,1,1
FBA78204,AM-C31,B0C4YT43Z3,"Audio Array AM-C31 USB Plug & Play Condenser Microphone Kit | Pop-Filter & Metallic Base | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | for PC/Mobile, Gaming, Podcasting & Streaming",Audio Array,IN,3727.12,2,0,0,2,
FBA78424,AM-C37,B0C55MY66L,"Audio Array AM-C37 Premium USB/XLR Dynamic Podcast Microphone | Volume, Mute Controls & Headphone Monitoring | Premium Metal Build | 2 Meter USB Cable Included | 96kHz/24bit Studio Performance",Audio Array,IN,3050,1,,,,
FBA79465,AM-W21,B0DFMQCGT1,"Audio Array Wireless Microphone Kit | Built in Recording, Noise Reduction & Echo | Smartphones, Cameras, Laptops | Dual-Channel Recording, 200 feet Transmission Range, 48-Hour Battery Life|AM-W21",Audio Array,IN,2965.25,1,0,0,1,1
FBA78203,AM-C30,B0C4YTNJG7,"Audio Array AM-C30 Metal RGB Professional USB Microphone | One-Touch Mute, Gain & No-Latency Monitoring Controls | Shock Mount and Tripod | for PC/Mobile, Gaming, Streaming, Podcasting & Voiceover",Audio Array,IN,1863.56,1,,,,
